# blastp
# Iteration: 0
# Query: P24276.1 RecName: Full=Protein SSD1; AltName: Full=Protein SRK1 [Saccharomyces cerevisiae S288C]
# RID: BBWCMDV1016
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 406 hits found
P24276.1	NP_010579.1	100.000	1250	0	0	1	1250	1	1250	0.0	2208	100.00
P24276.1	QEU59880.1	60.210	1239	415	18	19	1248	7	1176	0.0	1296	74.01
P24276.1	NP_982470.1	61.736	1244	419	20	22	1249	17	1219	0.0	1294	74.68
P24276.1	XP_452671.1	60.129	1239	416	18	19	1248	7	1176	0.0	1292	73.93
P24276.1	XP_721868.2	47.722	1207	482	15	148	1248	109	1272	0.0	915	60.98
P24276.1	XP_721868.2	48.077	52	20	2	1	52	1	45	0.019	44.7	65.38
P24276.1	KHC85556.1	47.801	1205	480	15	148	1246	110	1271	0.0	914	61.00
P24276.1	KHC85556.1	77.273	22	5	0	31	52	25	46	0.20	41.2	90.91
P24276.1	XP_462426.1	47.117	1214	478	20	148	1248	131	1293	0.0	899	61.45
P24276.1	XP_462426.1	58.621	29	12	0	24	52	25	53	0.017	44.7	75.86
P24276.1	ODV97345.1	46.369	1253	476	23	158	1246	154	1374	0.0	894	59.78
P24276.1	ODV97345.1	72.414	29	6	1	24	52	43	69	0.015	45.1	82.76
P24276.1	QEL62934.1	46.934	1223	486	21	148	1246	104	1287	0.0	885	61.49
P24276.1	QEL62934.1	46.429	28	15	0	25	52	22	49	35	33.9	71.43
P24276.1	KND98760.2	46.852	1223	487	20	148	1246	60	1243	0.0	884	61.32
P24276.1	PSK78039.1	46.895	1224	486	21	148	1246	104	1288	0.0	884	61.44
P24276.1	PSK78039.1	46.429	28	15	0	25	52	22	49	35	33.9	71.43
P24276.1	PIS50475.1	46.934	1223	486	21	148	1246	104	1287	0.0	884	61.49
P24276.1	PIS50475.1	46.429	28	15	0	25	52	22	49	35	33.9	71.43
P24276.1	QEO24388.1	46.852	1223	487	21	148	1246	77	1260	0.0	884	61.41
P24276.1	QEO24388.1	46.429	28	15	0	25	52	22	49	33	33.9	71.43
P24276.1	XP_028889211.1	46.770	1223	488	20	148	1246	104	1287	0.0	882	61.32
P24276.1	XP_028889211.1	46.429	28	15	0	25	52	22	49	35	33.9	71.43
P24276.1	GBL52369.1	46.770	1223	488	20	148	1246	104	1287	0.0	882	61.24
P24276.1	GBL52369.1	46.429	28	15	0	25	52	22	49	34	33.9	71.43
P24276.1	XP_002491774.1	47.731	1146	476	22	148	1246	119	1188	0.0	854	61.78
P24276.1	XP_002491774.1	47.917	48	25	0	5	52	19	66	0.001	48.5	64.58
P24276.1	AOA66978.1	47.731	1146	476	22	148	1246	48	1117	0.0	853	61.78
P24276.1	XP_505385.1	41.699	1295	566	26	29	1246	29	1211	0.0	755	56.99
P24276.1	APA15448.1	42.258	1001	437	19	337	1246	451	1401	0.0	680	59.04
P24276.1	SMY19906.1	41.920	1021	458	21	304	1246	411	1374	0.0	666	58.77
P24276.1	SMY19906.1	56.522	23	10	0	31	53	16	38	19	34.7	82.61
P24276.1	XP_001590366.1	41.984	998	438	19	337	1243	406	1353	0.0	664	58.52
P24276.1	XP_001797133.1	42.685	998	428	22	337	1246	443	1384	0.0	659	58.52
P24276.1	ODQ70873.1	45.421	808	372	14	497	1246	497	1293	0.0	638	62.50
P24276.1	ODQ70873.1	83.333	60	10	0	337	396	399	458	2.31e-22	109	90.00
P24276.1	EEH08335.1	46.163	834	374	16	337	1139	455	1244	0.0	635	63.07
P24276.1	EEH08335.1	36.735	49	31	0	1198	1246	1364	1412	1.41e-04	51.6	71.43
P24276.1	EEH08335.1	63.636	22	8	0	29	50	12	33	44	33.5	86.36
P24276.1	XP_001243079.2	47.023	823	365	15	337	1131	433	1212	0.0	629	63.30
P24276.1	XP_001243079.2	36.735	49	31	0	1198	1246	1331	1379	8.25e-05	52.4	75.51
P24276.1	XP_001243079.2	65.000	20	7	0	31	50	15	34	65	33.1	90.00
P24276.1	XP_752507.1	44.324	828	385	16	337	1131	426	1210	0.0	627	61.84
P24276.1	XP_752507.1	31.507	73	46	1	1178	1246	1304	1376	5.50e-05	53.1	64.38
P24276.1	XP_752507.1	60.000	25	10	0	29	53	13	37	6.5	36.2	80.00
P24276.1	XP_961563.2	44.352	841	382	15	337	1142	416	1205	0.0	595	60.52
